"","Abused.as.adult","Number.of.CAC.checked"
"1","No","0"
"2","No","0"
"3","No","0"
"4","No","0"
"5","No","0"
"6","No","0"
"7","No","0"
"8","No","0"
"9","No","0"
"10","No","0"
"11","No","0"
"12","No","0"
"13","No","0"
"14","No","0"
"15","No","0"
"16","No","0"
"17","No","0"
"18","No","0"
"19","No","0"
"20","No","0"
"21","No","0"
"22","No","0"
"23","No","0"
"24","No","0"
"25","No","0"
"26","No","0"
"27","No","0"
"28","No","0"
"29","No","0"
"30","No","0"
"31","No","0"
"32","No","0"
"33","No","0"
"34","No","0"
"35","No","0"
"36","No","0"
"37","No","0"
"38","No","0"
"39","No","0"
"40","No","0"
"41","No","0"
"42","No","0"
"43","No","0"
"44","No","0"
"45","No","0"
"46","No","0"
"47","No","0"
"48","No","0"
"49","No","0"
"50","No","0"
"51","No","0"
"52","No","0"
"53","No","0"
"54","No","0"
"55","No","0"
"56","No","0"
"57","No","0"
"58","No","0"
"59","No","0"
"60","No","0"
"61","No","0"
"62","No","0"
"63","No","0"
"64","No","0"
"65","No","0"
"66","No","0"
"67","No","0"
"68","No","0"
"69","No","0"
"70","No","0"
"71","No","0"
"72","No","0"
"73","No","0"
"74","No","0"
"75","No","0"
"76","No","0"
"77","No","0"
"78","No","0"
"79","No","0"
"80","No","0"
"81","No","0"
"82","No","0"
"83","No","0"
"84","No","0"
"85","No","0"
"86","No","0"
"87","No","0"
"88","No","0"
"89","No","0"
"90","No","0"
"91","No","0"
"92","No","0"
"93","No","0"
"94","No","0"
"95","No","0"
"96","No","0"
"97","No","0"
"98","No","0"
"99","No","0"
"100","No","0"
"101","No","0"
"102","No","0"
"103","No","0"
"104","No","0"
"105","No","0"
"106","No","0"
"107","No","0"
"108","No","0"
"109","No","0"
"110","No","0"
"111","No","0"
"112","No","0"
"113","No","0"
"114","No","0"
"115","No","0"
"116","No","0"
"117","No","0"
"118","No","0"
"119","No","0"
"120","No","0"
"121","No","0"
"122","No","0"
"123","No","0"
"124","No","0"
"125","No","0"
"126","No","0"
"127","No","0"
"128","No","0"
"129","No","0"
"130","No","0"
"131","No","0"
"132","No","0"
"133","No","0"
"134","No","0"
"135","No","0"
"136","No","0"
"137","No","0"
"138","No","0"
"139","No","0"
"140","No","0"
"141","No","0"
"142","No","0"
"143","No","0"
"144","No","0"
"145","No","0"
"146","No","0"
"147","No","0"
"148","No","0"
"149","No","0"
"150","No","0"
"151","No","0"
"152","No","0"
"153","No","0"
"154","No","0"
"155","No","0"
"156","No","0"
"157","No","0"
"158","No","0"
"159","No","0"
"160","No","0"
"161","No","0"
"162","No","0"
"163","No","0"
"164","No","0"
"165","No","0"
"166","No","0"
"167","No","0"
"168","No","0"
"169","No","0"
"170","No","0"
"171","No","0"
"172","No","0"
"173","No","0"
"174","No","0"
"175","No","0"
"176","No","0"
"177","No","0"
"178","No","0"
"179","No","0"
"180","No","0"
"181","No","0"
"182","No","0"
"183","No","0"
"184","No","0"
"185","No","0"
"186","No","0"
"187","No","0"
"188","No","0"
"189","No","0"
"190","No","0"
"191","No","0"
"192","No","0"
"193","No","0"
"194","No","0"
"195","No","0"
"196","No","0"
"197","No","0"
"198","No","0"
"199","No","0"
"200","No","0"
"201","No","0"
"202","No","0"
"203","No","0"
"204","No","0"
"205","No","0"
"206","No","0"
"207","No","0"
"208","No","0"
"209","No","0"
"210","No","0"
"211","No","0"
"212","No","0"
"213","No","0"
"214","No","0"
"215","No","0"
"216","No","0"
"217","No","0"
"218","No","0"
"219","No","0"
"220","No","0"
"221","No","0"
"222","No","0"
"223","No","0"
"224","No","0"
"225","No","0"
"226","No","0"
"227","No","0"
"228","No","0"
"229","No","0"
"230","No","0"
"231","No","0"
"232","No","0"
"233","No","0"
"234","No","0"
"235","No","0"
"236","No","0"
"237","No","0"
"238","No","0"
"239","No","0"
"240","No","0"
"241","No","0"
"242","No","0"
"243","No","0"
"244","No","0"
"245","No","0"
"246","No","0"
"247","No","0"
"248","No","0"
"249","No","0"
"250","No","0"
"251","No","0"
"252","No","0"
"253","No","0"
"254","No","0"
"255","No","0"
"256","No","0"
"257","No","0"
"258","No","0"
"259","No","0"
"260","No","0"
"261","No","0"
"262","No","0"
"263","No","0"
"264","No","0"
"265","No","0"
"266","No","0"
"267","No","0"
"268","No","0"
"269","No","0"
"270","No","0"
"271","No","0"
"272","No","0"
"273","No","0"
"274","No","0"
"275","No","0"
"276","No","0"
"277","No","0"
"278","No","0"
"279","No","0"
"280","No","0"
"281","No","0"
"282","No","0"
"283","No","0"
"284","No","0"
"285","No","0"
"286","No","0"
"287","No","0"
"288","No","0"
"289","No","0"
"290","No","0"
"291","No","0"
"292","No","0"
"293","No","0"
"294","No","0"
"295","No","0"
"296","No","0"
"297","No","0"
"298","No","0"
"299","No","0"
"300","No","0"
"301","No","0"
"302","No","0"
"303","No","0"
"304","No","0"
"305","No","0"
"306","No","0"
"307","No","0"
"308","No","0"
"309","No","0"
"310","No","0"
"311","No","0"
"312","No","0"
"313","No","0"
"314","No","0"
"315","No","0"
"316","No","0"
"317","No","0"
"318","No","0"
"319","No","0"
"320","No","0"
"321","No","0"
"322","No","0"
"323","No","0"
"324","No","0"
"325","No","0"
"326","No","0"
"327","No","0"
"328","No","0"
"329","No","0"
"330","No","0"
"331","No","0"
"332","No","0"
"333","No","0"
"334","No","0"
"335","No","0"
"336","No","0"
"337","No","0"
"338","No","0"
"339","No","0"
"340","No","0"
"341","No","0"
"342","No","0"
"343","No","0"
"344","No","0"
"345","No","0"
"346","No","0"
"347","No","0"
"348","No","0"
"349","No","0"
"350","No","0"
"351","No","0"
"352","No","0"
"353","No","0"
"354","No","0"
"355","No","0"
"356","No","0"
"357","No","0"
"358","No","0"
"359","No","0"
"360","No","0"
"361","No","0"
"362","No","0"
"363","No","0"
"364","No","0"
"365","No","0"
"366","No","0"
"367","No","0"
"368","No","0"
"369","No","0"
"370","No","0"
"371","No","0"
"372","No","0"
"373","No","0"
"374","No","0"
"375","No","0"
"376","No","0"
"377","No","0"
"378","No","0"
"379","No","0"
"380","No","0"
"381","No","0"
"382","No","0"
"383","No","0"
"384","No","0"
"385","No","0"
"386","No","0"
"387","No","0"
"388","No","0"
"389","No","0"
"390","No","0"
"391","No","0"
"392","No","0"
"393","No","0"
"394","No","0"
"395","No","0"
"396","No","0"
"397","No","0"
"398","No","0"
"399","No","0"
"400","No","0"
"401","No","0"
"402","No","0"
"403","No","0"
"404","No","0"
"405","No","0"
"406","No","0"
"407","No","0"
"408","No","0"
"409","No","0"
"410","No","0"
"411","No","0"
"412","No","0"
"413","No","0"
"414","No","0"
"415","No","0"
"416","No","0"
"417","No","0"
"418","No","0"
"419","No","0"
"420","No","0"
"421","No","0"
"422","No","0"
"423","No","0"
"424","No","0"
"425","No","0"
"426","No","0"
"427","No","0"
"428","No","0"
"429","No","0"
"430","No","0"
"431","No","0"
"432","No","0"
"433","No","0"
"434","No","0"
"435","No","0"
"436","No","0"
"437","No","0"
"438","No","0"
"439","No","0"
"440","No","0"
"441","No","0"
"442","No","0"
"443","No","0"
"444","No","0"
"445","No","0"
"446","No","0"
"447","No","0"
"448","No","0"
"449","No","0"
"450","No","0"
"451","No","0"
"452","No","0"
"453","No","0"
"454","No","0"
"455","No","0"
"456","No","0"
"457","No","0"
"458","No","0"
"459","No","0"
"460","No","0"
"461","No","0"
"462","No","0"
"463","No","0"
"464","No","0"
"465","No","0"
"466","No","0"
"467","No","0"
"468","No","0"
"469","No","0"
"470","No","0"
"471","No","0"
"472","No","0"
"473","No","0"
"474","No","0"
"475","No","0"
"476","No","0"
"477","No","0"
"478","No","0"
"479","No","0"
"480","No","0"
"481","No","0"
"482","No","0"
"483","No","0"
"484","No","0"
"485","No","0"
"486","No","0"
"487","No","0"
"488","No","0"
"489","No","0"
"490","No","0"
"491","No","0"
"492","No","0"
"493","No","0"
"494","No","0"
"495","No","0"
"496","No","0"
"497","No","0"
"498","No","0"
"499","No","0"
"500","No","0"
"501","No","0"
"502","No","0"
"503","No","0"
"504","No","0"
"505","No","0"
"506","No","0"
"507","No","0"
"508","No","0"
"509","No","0"
"510","No","0"
"511","No","0"
"512","No","0"
"513","No","1"
"514","No","1"
"515","No","1"
"516","No","1"
"517","No","1"
"518","No","1"
"519","No","1"
"520","No","1"
"521","No","1"
"522","No","1"
"523","No","1"
"524","No","1"
"525","No","1"
"526","No","1"
"527","No","1"
"528","No","1"
"529","No","1"
"530","No","1"
"531","No","1"
"532","No","1"
"533","No","1"
"534","No","1"
"535","No","1"
"536","No","1"
"537","No","1"
"538","No","1"
"539","No","1"
"540","No","1"
"541","No","1"
"542","No","1"
"543","No","1"
"544","No","1"
"545","No","1"
"546","No","1"
"547","No","1"
"548","No","1"
"549","No","1"
"550","No","1"
"551","No","1"
"552","No","1"
"553","No","1"
"554","No","1"
"555","No","1"
"556","No","1"
"557","No","1"
"558","No","1"
"559","No","1"
"560","No","1"
"561","No","1"
"562","No","1"
"563","No","1"
"564","No","1"
"565","No","1"
"566","No","1"
"567","No","1"
"568","No","1"
"569","No","1"
"570","No","1"
"571","No","1"
"572","No","1"
"573","No","1"
"574","No","1"
"575","No","1"
"576","No","1"
"577","No","1"
"578","No","1"
"579","No","1"
"580","No","1"
"581","No","1"
"582","No","1"
"583","No","1"
"584","No","1"
"585","No","1"
"586","No","1"
"587","No","1"
"588","No","1"
"589","No","1"
"590","No","1"
"591","No","1"
"592","No","1"
"593","No","1"
"594","No","1"
"595","No","1"
"596","No","1"
"597","No","1"
"598","No","1"
"599","No","1"
"600","No","1"
"601","No","1"
"602","No","1"
"603","No","1"
"604","No","1"
"605","No","1"
"606","No","1"
"607","No","1"
"608","No","1"
"609","No","1"
"610","No","1"
"611","No","1"
"612","No","1"
"613","No","1"
"614","No","1"
"615","No","1"
"616","No","1"
"617","No","1"
"618","No","1"
"619","No","1"
"620","No","1"
"621","No","1"
"622","No","1"
"623","No","1"
"624","No","1"
"625","No","1"
"626","No","1"
"627","No","1"
"628","No","1"
"629","No","1"
"630","No","1"
"631","No","1"
"632","No","1"
"633","No","1"
"634","No","1"
"635","No","1"
"636","No","1"
"637","No","1"
"638","No","1"
"639","No","1"
"640","No","1"
"641","No","1"
"642","No","1"
"643","No","1"
"644","No","1"
"645","No","1"
"646","No","1"
"647","No","1"
"648","No","1"
"649","No","1"
"650","No","1"
"651","No","1"
"652","No","1"
"653","No","1"
"654","No","1"
"655","No","1"
"656","No","1"
"657","No","1"
"658","No","1"
"659","No","1"
"660","No","1"
"661","No","1"
"662","No","1"
"663","No","1"
"664","No","1"
"665","No","1"
"666","No","1"
"667","No","1"
"668","No","1"
"669","No","1"
"670","No","1"
"671","No","1"
"672","No","1"
"673","No","1"
"674","No","1"
"675","No","1"
"676","No","1"
"677","No","1"
"678","No","1"
"679","No","1"
"680","No","1"
"681","No","1"
"682","No","1"
"683","No","1"
"684","No","1"
"685","No","1"
"686","No","1"
"687","No","1"
"688","No","1"
"689","No","1"
"690","No","1"
"691","No","1"
"692","No","1"
"693","No","1"
"694","No","1"
"695","No","1"
"696","No","1"
"697","No","1"
"698","No","1"
"699","No","1"
"700","No","1"
"701","No","1"
"702","No","1"
"703","No","1"
"704","No","1"
"705","No","1"
"706","No","1"
"707","No","1"
"708","No","1"
"709","No","1"
"710","No","1"
"711","No","1"
"712","No","1"
"713","No","1"
"714","No","1"
"715","No","1"
"716","No","1"
"717","No","1"
"718","No","1"
"719","No","1"
"720","No","1"
"721","No","1"
"722","No","1"
"723","No","1"
"724","No","1"
"725","No","1"
"726","No","1"
"727","No","1"
"728","No","1"
"729","No","1"
"730","No","1"
"731","No","1"
"732","No","1"
"733","No","1"
"734","No","1"
"735","No","1"
"736","No","1"
"737","No","1"
"738","No","1"
"739","No","1"
"740","No","2"
"741","No","2"
"742","No","2"
"743","No","2"
"744","No","2"
"745","No","2"
"746","No","2"
"747","No","2"
"748","No","2"
"749","No","2"
"750","No","2"
"751","No","2"
"752","No","2"
"753","No","2"
"754","No","2"
"755","No","2"
"756","No","2"
"757","No","2"
"758","No","2"
"759","No","2"
"760","No","2"
"761","No","2"
"762","No","2"
"763","No","2"
"764","No","2"
"765","No","2"
"766","No","2"
"767","No","2"
"768","No","2"
"769","No","2"
"770","No","2"
"771","No","2"
"772","No","2"
"773","No","2"
"774","No","2"
"775","No","2"
"776","No","2"
"777","No","2"
"778","No","2"
"779","No","2"
"780","No","2"
"781","No","2"
"782","No","2"
"783","No","2"
"784","No","2"
"785","No","2"
"786","No","2"
"787","No","2"
"788","No","2"
"789","No","2"
"790","No","2"
"791","No","2"
"792","No","2"
"793","No","2"
"794","No","2"
"795","No","2"
"796","No","2"
"797","No","2"
"798","No","2"
"799","No","3-4"
"800","No","3-4"
"801","No","3-4"
"802","No","3-4"
"803","No","3-4"
"804","No","3-4"
"805","No","3-4"
"806","No","3-4"
"807","No","3-4"
"808","No","3-4"
"809","No","3-4"
"810","No","3-4"
"811","No","3-4"
"812","No","3-4"
"813","No","3-4"
"814","No","3-4"
"815","No","3-4"
"816","No","3-4"
"817","Yes","0"
"818","Yes","0"
"819","Yes","0"
"820","Yes","0"
"821","Yes","0"
"822","Yes","0"
"823","Yes","0"
"824","Yes","0"
"825","Yes","0"
"826","Yes","0"
"827","Yes","0"
"828","Yes","0"
"829","Yes","0"
"830","Yes","0"
"831","Yes","0"
"832","Yes","0"
"833","Yes","0"
"834","Yes","0"
"835","Yes","0"
"836","Yes","0"
"837","Yes","0"
"838","Yes","0"
"839","Yes","0"
"840","Yes","0"
"841","Yes","0"
"842","Yes","0"
"843","Yes","0"
"844","Yes","0"
"845","Yes","0"
"846","Yes","0"
"847","Yes","0"
"848","Yes","0"
"849","Yes","0"
"850","Yes","0"
"851","Yes","0"
"852","Yes","0"
"853","Yes","0"
"854","Yes","0"
"855","Yes","0"
"856","Yes","0"
"857","Yes","0"
"858","Yes","0"
"859","Yes","0"
"860","Yes","0"
"861","Yes","0"
"862","Yes","0"
"863","Yes","0"
"864","Yes","0"
"865","Yes","0"
"866","Yes","0"
"867","Yes","0"
"868","Yes","0"
"869","Yes","0"
"870","Yes","0"
"871","Yes","1"
"872","Yes","1"
"873","Yes","1"
"874","Yes","1"
"875","Yes","1"
"876","Yes","1"
"877","Yes","1"
"878","Yes","1"
"879","Yes","1"
"880","Yes","1"
"881","Yes","1"
"882","Yes","1"
"883","Yes","1"
"884","Yes","1"
"885","Yes","1"
"886","Yes","1"
"887","Yes","1"
"888","Yes","1"
"889","Yes","1"
"890","Yes","1"
"891","Yes","1"
"892","Yes","1"
"893","Yes","1"
"894","Yes","1"
"895","Yes","1"
"896","Yes","1"
"897","Yes","1"
"898","Yes","1"
"899","Yes","1"
"900","Yes","1"
"901","Yes","1"
"902","Yes","1"
"903","Yes","1"
"904","Yes","1"
"905","Yes","1"
"906","Yes","1"
"907","Yes","1"
"908","Yes","2"
"909","Yes","2"
"910","Yes","2"
"911","Yes","2"
"912","Yes","2"
"913","Yes","2"
"914","Yes","2"
"915","Yes","2"
"916","Yes","2"
"917","Yes","2"
"918","Yes","2"
"919","Yes","2"
"920","Yes","2"
"921","Yes","2"
"922","Yes","2"
"923","Yes","3-4"
"924","Yes","3-4"
"925","Yes","3-4"
"926","Yes","3-4"
"927","Yes","3-4"
"928","Yes","3-4"
"929","Yes","3-4"
"930","Yes","3-4"
"931","Yes","3-4"
"932","Yes","3-4"
"933","Yes","3-4"
"934","Yes","3-4"
