"","DeathSentence","DefendantsRace"
"1","No","White"
"2","No","White"
"3","No","White"
"4","No","White"
"5","No","Nonwhite"
"6","No","White"
"7","No","Nonwhite"
"8","No","Nonwhite"
"9","No","Nonwhite"
"10","No","White"
"11","No","White"
"12","No","White"
"13","Yes","White"
"14","No","Nonwhite"
"15","No","White"
"16","No","White"
"17","No","Nonwhite"
"18","No","White"
"19","No","White"
"20","No","White"
"21","No","White"
"22","Yes","White"
"23","No","White"
"24","No","White"
"25","No","Nonwhite"
"26","No","White"
"27","No","White"
"28","No","White"
"29","No","Nonwhite"
"30","No","White"
"31","No","White"
"32","No","White"
"33","No","White"
"34","No","Nonwhite"
"35","No","White"
"36","No","Nonwhite"
"37","No","Nonwhite"
"38","No","White"
"39","No","White"
"40","No","White"
"41","No","White"
"42","No","Nonwhite"
"43","No","Nonwhite"
"44","No","White"
"45","No","Nonwhite"
"46","No","Nonwhite"
"47","No","White"
"48","No","White"
"49","No","Nonwhite"
"50","No","Nonwhite"
"51","No","Nonwhite"
"52","No","White"
"53","No","White"
"54","No","Nonwhite"
"55","No","White"
"56","No","Nonwhite"
"57","No","White"
"58","No","Nonwhite"
"59","No","White"
"60","No","White"
"61","No","Nonwhite"
"62","No","White"
"63","No","White"
"64","Yes","White"
"65","No","White"
"66","No","White"
"67","No","Nonwhite"
"68","No","White"
"69","Yes","Nonwhite"
"70","No","Nonwhite"
"71","No","White"
"72","No","White"
"73","No","White"
"74","No","Nonwhite"
"75","No","White"
"76","No","Nonwhite"
"77","No","White"
"78","No","White"
"79","No","Nonwhite"
"80","No","White"
"81","Yes","White"
"82","No","Nonwhite"
"83","No","Nonwhite"
"84","No","White"
"85","No","Nonwhite"
"86","No","Nonwhite"
"87","No","Nonwhite"
"88","No","White"
"89","No","White"
"90","No","White"
"91","Yes","Nonwhite"
"92","No","White"
"93","No","White"
"94","No","Nonwhite"
"95","No","Nonwhite"
"96","No","White"
"97","No","White"
"98","No","White"
"99","No","Nonwhite"
"100","No","White"
"101","No","White"
"102","No","White"
"103","No","White"
"104","No","White"
"105","No","White"
"106","No","Nonwhite"
"107","Yes","Nonwhite"
"108","No","Nonwhite"
"109","No","White"
"110","No","Nonwhite"
"111","No","White"
"112","No","Nonwhite"
"113","No","Nonwhite"
"114","No","White"
"115","No","White"
"116","No","White"
"117","No","Nonwhite"
"118","No","Nonwhite"
"119","No","White"
"120","No","White"
"121","No","Nonwhite"
"122","No","White"
"123","No","Nonwhite"
"124","No","White"
"125","No","Nonwhite"
"126","No","Nonwhite"
"127","Yes","Nonwhite"
"128","No","Nonwhite"
"129","No","White"
"130","No","Nonwhite"
"131","No","White"
"132","Yes","Nonwhite"
"133","No","White"
"134","No","Nonwhite"
"135","No","Nonwhite"
"136","No","White"
"137","No","Nonwhite"
"138","No","White"
"139","No","White"
"140","No","White"
"141","No","White"
"142","No","White"
"143","No","White"
"144","No","White"
"145","No","White"
"146","No","White"
"147","No","White"
"148","No","White"
"149","No","Nonwhite"
"150","No","Nonwhite"
"151","No","White"
"152","No","White"
"153","No","Nonwhite"
"154","No","Nonwhite"
"155","No","White"
"156","No","Nonwhite"
"157","No","Nonwhite"
"158","No","White"
"159","No","White"
"160","No","White"
"161","No","White"
"162","No","White"
"163","No","White"
"164","No","White"
"165","No","White"
"166","No","White"
"167","No","Nonwhite"
"168","No","White"
"169","No","White"
"170","Yes","White"
"171","No","White"
"172","No","White"
"173","No","White"
"174","No","White"
"175","No","White"
"176","No","White"
"177","No","White"
"178","No","White"
"179","No","White"
"180","No","White"
"181","No","White"
"182","No","Nonwhite"
"183","No","White"
"184","No","White"
"185","No","Nonwhite"
"186","No","White"
"187","No","Nonwhite"
"188","No","White"
"189","No","White"
"190","No","White"
"191","No","White"
"192","No","Nonwhite"
"193","No","White"
"194","Yes","Nonwhite"
"195","No","Nonwhite"
"196","No","Nonwhite"
"197","No","Nonwhite"
"198","No","Nonwhite"
"199","No","White"
"200","No","White"
"201","Yes","Nonwhite"
"202","No","Nonwhite"
"203","Yes","Nonwhite"
"204","No","Nonwhite"
"205","No","White"
"206","No","White"
"207","No","White"
"208","No","Nonwhite"
"209","Yes","White"
"210","Yes","Nonwhite"
"211","Yes","White"
"212","No","White"
"213","No","White"
"214","No","White"
"215","No","White"
"216","Yes","Nonwhite"
"217","No","Nonwhite"
"218","No","White"
"219","No","White"
"220","No","Nonwhite"
"221","No","Nonwhite"
"222","No","White"
"223","Yes","Nonwhite"
"224","No","White"
"225","No","White"
"226","No","Nonwhite"
"227","No","White"
"228","No","White"
"229","No","Nonwhite"
"230","No","Nonwhite"
"231","No","Nonwhite"
"232","No","White"
"233","No","White"
"234","No","White"
"235","Yes","White"
"236","No","White"
"237","No","White"
"238","No","Nonwhite"
"239","No","White"
"240","No","White"
"241","No","White"
"242","No","Nonwhite"
"243","No","White"
"244","No","Nonwhite"
"245","No","White"
"246","No","White"
"247","No","Nonwhite"
"248","No","White"
"249","No","White"
"250","No","Nonwhite"
"251","No","White"
"252","Yes","Nonwhite"
"253","No","White"
"254","Yes","White"
"255","No","White"
"256","No","Nonwhite"
"257","No","White"
"258","No","Nonwhite"
"259","No","Nonwhite"
"260","No","White"
"261","No","White"
"262","Yes","White"
"263","No","Nonwhite"
"264","No","Nonwhite"
"265","No","White"
"266","No","White"
"267","No","White"
"268","No","Nonwhite"
"269","No","Nonwhite"
"270","No","White"
"271","No","White"
"272","No","White"
"273","No","White"
"274","No","White"
"275","No","White"
"276","No","White"
"277","No","Nonwhite"
"278","No","White"
"279","No","Nonwhite"
"280","No","White"
"281","No","White"
"282","No","White"
"283","No","White"
"284","No","White"
"285","No","White"
"286","No","Nonwhite"
"287","No","White"
"288","No","White"
"289","No","White"
"290","Yes","White"
"291","No","Nonwhite"
"292","No","White"
"293","No","White"
"294","No","White"
"295","No","White"
"296","No","Nonwhite"
"297","No","Nonwhite"
"298","Yes","White"
"299","No","White"
"300","No","White"
"301","No","White"
"302","No","White"
"303","No","White"
"304","No","White"
"305","No","White"
"306","No","Nonwhite"
"307","Yes","Nonwhite"
"308","No","White"
"309","Yes","Nonwhite"
"310","No","White"
"311","Yes","White"
"312","No","White"
"313","No","White"
"314","No","White"
"315","No","White"
"316","No","White"
"317","No","White"
"318","No","White"
"319","No","Nonwhite"
"320","No","White"
"321","No","White"
"322","No","Nonwhite"
"323","No","White"
"324","No","White"
"325","No","Nonwhite"
"326","No","White"
"327","No","White"
"328","No","White"
"329","No","White"
"330","No","Nonwhite"
"331","No","White"
"332","Yes","White"
"333","No","Nonwhite"
"334","No","Nonwhite"
"335","No","Nonwhite"
"336","No","Nonwhite"
"337","No","Nonwhite"
"338","No","Nonwhite"
"339","No","White"
"340","Yes","Nonwhite"
"341","No","Nonwhite"
"342","No","White"
"343","No","White"
"344","No","White"
"345","Yes","White"
"346","No","White"
"347","Yes","Nonwhite"
"348","No","White"
"349","No","White"
"350","No","White"
"351","No","Nonwhite"
"352","No","White"
"353","No","White"
"354","No","Nonwhite"
"355","No","Nonwhite"
"356","No","White"
"357","No","Nonwhite"
"358","No","Nonwhite"
"359","No","White"
"360","Yes","White"
"361","No","White"
"362","No","Nonwhite"
"363","No","White"
"364","No","White"
"365","Yes","White"
"366","No","White"
"367","No","White"
"368","No","Nonwhite"
"369","No","White"
"370","No","Nonwhite"
"371","No","White"
"372","No","White"
"373","Yes","White"
"374","No","Nonwhite"
"375","No","Nonwhite"
"376","No","Nonwhite"
"377","No","White"
"378","No","Nonwhite"
"379","No","Nonwhite"
"380","No","White"
"381","No","White"
"382","No","White"
"383","No","Nonwhite"
"384","No","White"
"385","No","Nonwhite"
"386","No","White"
"387","No","White"
"388","No","Nonwhite"
"389","No","White"
"390","No","Nonwhite"
"391","No","White"
"392","No","White"
"393","No","Nonwhite"
"394","No","White"
"395","No","White"
"396","No","White"
"397","No","White"
"398","No","Nonwhite"
"399","No","White"
"400","No","Nonwhite"
"401","No","Nonwhite"
"402","Yes","Nonwhite"
"403","No","White"
"404","No","White"
"405","No","White"
"406","No","White"
"407","No","Nonwhite"
"408","No","White"
"409","No","Nonwhite"
"410","No","Nonwhite"
"411","No","Nonwhite"
"412","No","White"
"413","No","White"
"414","No","White"
"415","No","Nonwhite"
"416","No","White"
"417","No","White"
"418","No","Nonwhite"
"419","No","Nonwhite"
"420","No","White"
"421","Yes","White"
"422","No","Nonwhite"
"423","No","White"
"424","No","White"
"425","No","White"
"426","No","White"
"427","No","Nonwhite"
"428","No","White"
"429","No","White"
"430","No","Nonwhite"
"431","Yes","White"
"432","No","Nonwhite"
"433","No","White"
"434","Yes","White"
"435","No","White"
"436","No","Nonwhite"
"437","No","White"
"438","No","White"
"439","Yes","White"
"440","No","White"
"441","No","White"
"442","No","White"
"443","No","White"
"444","No","White"
"445","No","Nonwhite"
"446","No","Nonwhite"
"447","No","White"
"448","Yes","Nonwhite"
"449","No","White"
"450","No","Nonwhite"
"451","No","Nonwhite"
"452","No","Nonwhite"
"453","No","White"
"454","No","Nonwhite"
"455","No","White"
"456","No","White"
"457","No","White"
"458","No","White"
"459","No","White"
"460","Yes","White"
"461","No","White"
"462","Yes","Nonwhite"
"463","Yes","Nonwhite"
"464","No","White"
"465","No","White"
"466","No","White"
"467","No","White"
"468","No","White"
"469","No","White"
"470","No","Nonwhite"
"471","Yes","Nonwhite"
"472","No","White"
"473","No","Nonwhite"
"474","Yes","White"
"475","No","Nonwhite"
"476","No","Nonwhite"
"477","No","Nonwhite"
"478","No","White"
"479","No","White"
"480","No","White"
"481","No","White"
"482","No","White"
"483","No","Nonwhite"
"484","No","White"
"485","No","White"
"486","No","White"
"487","No","White"
"488","No","White"
"489","No","White"
"490","No","White"
"491","No","Nonwhite"
"492","No","White"
"493","No","White"
"494","No","White"
"495","No","Nonwhite"
"496","No","White"
"497","No","White"
"498","No","White"
"499","No","White"
"500","No","White"
"501","No","White"
"502","No","White"
"503","No","White"
"504","No","Nonwhite"
"505","No","White"
"506","No","White"
"507","No","White"
"508","No","Nonwhite"
"509","No","White"
"510","No","White"
"511","No","White"
"512","No","White"
"513","No","White"
"514","Yes","Nonwhite"
"515","No","Nonwhite"
"516","No","White"
"517","No","Nonwhite"
"518","No","White"
"519","No","White"
"520","No","White"
"521","No","White"
"522","No","White"
"523","No","Nonwhite"
"524","No","White"
"525","No","White"
"526","Yes","White"
"527","No","White"
"528","No","White"
"529","No","Nonwhite"
"530","No","Nonwhite"
"531","No","White"
"532","No","Nonwhite"
"533","No","White"
"534","Yes","Nonwhite"
"535","No","Nonwhite"
"536","No","White"
"537","No","White"
"538","No","Nonwhite"
"539","No","White"
"540","No","White"
"541","No","White"
"542","No","White"
"543","No","Nonwhite"
"544","No","Nonwhite"
"545","Yes","White"
"546","No","White"
"547","No","White"
"548","No","White"
"549","No","White"
"550","No","White"
"551","No","White"
"552","No","White"
"553","No","Nonwhite"
"554","No","White"
"555","No","White"
"556","No","Nonwhite"
"557","No","White"
"558","No","White"
"559","No","White"
"560","Yes","Nonwhite"
"561","No","Nonwhite"
"562","No","White"
"563","No","White"
"564","No","Nonwhite"
"565","No","White"
"566","No","Nonwhite"
"567","No","Nonwhite"
"568","No","Nonwhite"
"569","No","Nonwhite"
"570","No","White"
"571","No","Nonwhite"
"572","No","White"
"573","No","Nonwhite"
"574","No","Nonwhite"
"575","No","White"
"576","Yes","Nonwhite"
"577","No","Nonwhite"
"578","No","Nonwhite"
"579","No","White"
"580","No","White"
"581","No","White"
"582","Yes","White"
"583","Yes","Nonwhite"
"584","No","White"
"585","No","White"
"586","No","Nonwhite"
"587","No","Nonwhite"
"588","No","Nonwhite"
"589","Yes","Nonwhite"
"590","No","Nonwhite"
"591","No","White"
"592","No","White"
"593","No","Nonwhite"
"594","No","Nonwhite"
"595","Yes","Nonwhite"
"596","No","White"
"597","No","White"
"598","No","White"
"599","Yes","Nonwhite"
"600","No","White"
"601","No","White"
"602","No","White"
"603","No","White"
"604","No","White"
"605","Yes","Nonwhite"
"606","No","White"
"607","No","White"
"608","No","Nonwhite"
"609","No","Nonwhite"
"610","No","White"
"611","No","White"
"612","No","White"
"613","No","White"
"614","No","White"
"615","No","White"
"616","No","Nonwhite"
"617","No","White"
"618","No","White"
"619","No","Nonwhite"
"620","No","White"
"621","No","Nonwhite"
"622","No","White"
"623","No","White"
"624","No","White"
"625","No","Nonwhite"
"626","No","Nonwhite"
"627","No","White"
"628","No","Nonwhite"
"629","No","White"
"630","No","White"
"631","Yes","Nonwhite"
"632","No","White"
"633","No","White"
"634","Yes","Nonwhite"
"635","No","Nonwhite"
"636","No","White"
"637","No","White"
"638","No","White"
"639","No","Nonwhite"
"640","No","White"
"641","No","White"
"642","No","White"
"643","No","White"
"644","No","White"
"645","Yes","White"
"646","No","White"
"647","No","Nonwhite"
"648","No","Nonwhite"
"649","Yes","White"
"650","No","Nonwhite"
"651","No","White"
"652","No","White"
"653","No","Nonwhite"
"654","Yes","Nonwhite"
"655","Yes","White"
"656","No","Nonwhite"
"657","No","White"
"658","No","White"
"659","No","White"
"660","No","White"
"661","No","White"
"662","No","Nonwhite"
"663","No","White"
"664","No","White"
"665","No","White"
"666","No","White"
"667","No","White"
"668","No","Nonwhite"
"669","No","White"
"670","No","White"
"671","No","White"
"672","No","White"
"673","No","Nonwhite"
"674","No","White"
"675","No","White"
"676","No","White"
"677","No","White"
"678","Yes","White"
"679","No","Nonwhite"
"680","No","White"
"681","No","White"
"682","No","White"
"683","No","White"
"684","No","White"
"685","No","White"
"686","Yes","White"
"687","No","White"
"688","No","Nonwhite"
"689","No","White"
"690","No","Nonwhite"
"691","No","Nonwhite"
"692","No","White"
"693","No","White"
"694","No","White"
"695","No","White"
"696","No","White"
"697","No","White"
"698","No","Nonwhite"
"699","No","White"
"700","No","White"
"701","No","White"
"702","No","Nonwhite"
"703","No","White"
"704","No","White"
"705","No","White"
"706","No","White"
"707","No","White"
"708","No","White"
"709","No","White"
"710","No","White"
"711","No","Nonwhite"
"712","No","White"
"713","No","White"
"714","No","White"
"715","No","White"
"716","No","Nonwhite"
"717","No","White"
"718","No","Nonwhite"
"719","No","White"
"720","No","White"
"721","No","Nonwhite"
"722","No","White"
"723","No","White"
"724","No","White"
"725","No","White"
"726","No","White"
"727","No","White"
"728","No","White"
"729","No","Nonwhite"
"730","No","White"
"731","No","Nonwhite"
"732","No","Nonwhite"
"733","No","Nonwhite"
"734","No","White"
"735","No","White"
"736","No","Nonwhite"
"737","No","Nonwhite"
"738","No","White"
"739","No","Nonwhite"
"740","No","Nonwhite"
"741","No","Nonwhite"
"742","Yes","White"
"743","No","Nonwhite"
"744","No","White"
"745","No","White"
"746","No","Nonwhite"
"747","No","White"
"748","No","Nonwhite"
"749","No","Nonwhite"
"750","No","White"
"751","No","White"
"752","No","Nonwhite"
"753","No","White"
"754","No","Nonwhite"
"755","No","White"
"756","No","White"
"757","No","Nonwhite"
"758","No","Nonwhite"
"759","No","White"
"760","No","White"
"761","No","White"
"762","No","White"
"763","No","White"
"764","No","White"
"765","No","White"
"766","No","Nonwhite"
"767","No","Nonwhite"
"768","No","White"
"769","No","White"
"770","No","White"
"771","No","Nonwhite"
"772","No","White"
"773","No","Nonwhite"
"774","No","White"
"775","No","White"
"776","No","White"
"777","No","White"
"778","No","White"
"779","No","Nonwhite"
"780","No","White"
"781","No","White"
"782","No","Nonwhite"
"783","No","White"
"784","No","White"
"785","No","White"
"786","No","White"
"787","No","Nonwhite"
"788","No","Nonwhite"
"789","No","White"
"790","No","Nonwhite"
"791","No","White"
"792","No","White"
"793","No","Nonwhite"
"794","No","White"
"795","No","White"
"796","No","Nonwhite"
"797","No","Nonwhite"
"798","No","White"
"799","No","Nonwhite"
"800","No","White"
"801","No","White"
"802","No","Nonwhite"
"803","No","White"
"804","No","White"
"805","No","Nonwhite"
"806","No","Nonwhite"
"807","No","White"
"808","No","White"
"809","No","White"
"810","No","White"
"811","No","White"
"812","No","White"
"813","No","Nonwhite"
"814","No","White"
"815","No","White"
"816","No","Nonwhite"
"817","No","White"
"818","No","White"
"819","No","White"
"820","No","White"
"821","No","Nonwhite"
"822","No","Nonwhite"
"823","No","White"
"824","No","Nonwhite"
"825","No","Nonwhite"
